GOOGL US,,,,,GOOG US,,,,,AMZN US,,,,,FB US,,,,,AAPL US,,,,,MSFT US,,,,,BABA US,,,
Date,Last Price,Volume,SMAVG (15),,Date,Last Price,Volume,SMAVG (15),,Date,Last Price,Volume,SMAVG (15),,Date,Last Price,Volume,SMAVG (15),,Date,Last Price,Volume,SMAVG (15),,Date,Last Price,Volume,SMAVG (15),,Date,Last Price,Volume,SMAVG (15)
1/31/2020,,,,,1/31/2020,,,,,1/31/2020,,,,,1/31/2020,,,,,1/31/2020,,,,,1/31/2020,,,,,1/31/2020,,,
1/30/2020,1454.25,1355472,1542819,,1/30/2020,1455.84,1339421,1595006,,1/30/2020,1870.68,6327438,3317186,,1/30/2020,209.53,48775500,16518267,,1/30/2020,323.87,31685808,34930452,,1/30/2020,172.78,51597472,27258978,,1/30/2020,208.58,14375995,15222020
1/29/2020,1456.7,1081964,1570206,,1/29/2020,1458.63,1078667,1607656,,1/29/2020,1858,2101390,3129488,,1/29/2020,223.23,33610004,14166081,,1/29/2020,324.34,54149928,35024128,,1/29/2020,168.04,35127772,25669950,,1/29/2020,212.02,12896298,15062493
1/28/2020,1450.5,1486586,1613172,,1/28/2020,1452.56,1577422,1636525,,1/28/2020,1853.25,2808040,3264996,,1/28/2020,217.79,13413835,12932871,,1/28/2020,317.69,40558488,33272642,,1/28/2020,165.46,24899940,24786880,,1/28/2020,210.23,16196716,14838674
1/27/2020,1431.73,1706566,1670022,,1/27/2020,1433.9,1755201,1646907,,1/27/2020,1828.34,3528509,3348839,,1/27/2020,214.87,13810655,13176873,,1/27/2020,308.95,40485004,32545054,,1/27/2020,162.28,32078068,24515332,,1/27/2020,205.47,24574680,14551725
1/24/2020,1466.17,1489280,1634293,,1/24/2020,1466.71,1784644,1609027,,1/24/2020,1861.64,3766181,3364712,,1/24/2020,217.94,11905824,13002657,,1/24/2020,318.31,36634380,32288312,,1/24/2020,165.04,24918116,23784906,,1/24/2020,213.75,18143868,13487298
1/23/2020,1484.69,1332562,1625959,,1/23/2020,1486.65,1351354,1583833,,1/23/2020,1884.58,2484613,3382694,,1/23/2020,219.76,11195000,13014982,,1/23/2020,319.23,26117992,32106810,,1/23/2020,166.72,19680766,23632668,,1/23/2020,219.13,18519886,13336567
1/22/2020,1484.17,1422946,1602192,,1/22/2020,1485.95,1610846,1557907,,1/22/2020,1887.46,3216257,3384412,,1/22/2020,221.32,12212814,12866166,,1/22/2020,317.7,25458116,32048786,,1/22/2020,165.7,24138776,23546842,,1/22/2020,222.37,10059579,12553646
1/21/2020,1482.25,2446601,1574035,,1/21/2020,1484.4,2036780,1520605,,1/21/2020,1892,3707785,3415149,,1/21/2020,221.44,14275784,12754275,,1/21/2020,316.57,27710814,32755552,,1/21/2020,166.5,29517192,23028038,,1/21/2020,222.26,15831087,12466071
1/17/2020,1479.52,2621175,1488320,,1/17/2020,1480.39,2396215,1454068,,1/17/2020,1864.72,3997340,3580547,,1/17/2020,222.14,15905944,12488398,,1/17/2020,318.73,34454116,33347694,,1/17/2020,167.1,34371660,22287848,,1/17/2020,227.43,12956200,12189243
1/16/2020,1450.16,1304040,1392495,,1/16/2020,1451.7,1173688,1338837,,1/16/2020,1877.94,2659493,3715698,,1/16/2020,221.77,10015288,12052553,,1/16/2020,315.24,27207254,32606354,,1/16/2020,166.17,23865360,20964866,,1/16/2020,223.94,13712552,11786659
1/15/2020,1439.2,1077519,1350453,,1/15/2020,1439.2,1282685,1283759,,1/15/2020,1862.02,2896592,3597154,,1/15/2020,221.15,10036475,11787952,,1/15/2020,311.34,30480882,31600518,,1/15/2020,163.18,21417872,19973120,,1/15/2020,225.06,10743368,11240688
1/14/2020,1430.59,1305636,1345083,,1/14/2020,1430.88,1560453,1257127,,1/14/2020,1869.44,3446381,3546548,,1/14/2020,219.06,13315361,12009067,,1/14/2020,312.68,40653456,31213650,,1/14/2020,162.13,23500784,19727014,,1/14/2020,226.49,17302164,11360381
1/13/2020,1440.03,1537317,1425630,,1/13/2020,1439.23,1653482,1374224,,1/13/2020,1891.3,2785844,3660286,,1/13/2020,221.91,14494517,12942391,,1/13/2020,316.96,30521722,33105604,,1/13/2020,163.28,21637008,21733602,,1/13/2020,230.48,17571892,11985093
