Date,Last Price,Volume,SMAVG (15)
1/30/2020,1870.68,6327438,3317186
1/29/2020,1858,2101390,3129488
1/28/2020,1853.25,2808040,3264996
1/27/2020,1828.34,3528509,3348839
1/24/2020,1861.64,3766181,3364712
1/23/2020,1884.58,2484613,3382694
1/22/2020,1887.46,3216257,3384412
1/21/2020,1892,3707785,3415149
1/17/2020,1864.72,3997340,3580547
1/16/2020,1877.94,2659493,3715698
1/15/2020,1862.02,2896592,3597154
1/14/2020,1869.44,3446381,3546548
1/13/2020,1891.3,2785844,3660286
1/10/2020,1883.16,2856959,3657118
1/9/2020,1901.05,3174962,3690263
1/8/2020,1891.97,3511966,3721712
1/7/2020,1906.86,4134010,3697537
1/6/2020,1902.88,4065698,3605131
1/3/2020,1874.97,3766604,3541014
1/2/2020,1898.01,4035910,3429995
12/31/2019,1847.84,2510380,3328644
12/30/2019,1846.89,3677306,3328118
12/27/2019,1869.8,6188754,3290963
12/26/2019,1868.77,6024608,3066903
12/24/2019,1789.21,881337,2843975
12/23/2019,1793,2137493,3020525
12/20/2019,1786.5,5152460,3140142
12/19/2019,1792.28,2738320,2924874
12/18/2019,1784.03,3354137,2944709
12/17/2019,1790.66,3646697,2933795
12/16/2019,1769.21,3149345,2923313
12/13/2019,1760.94,2747909,2878629
12/12/2019,1760.33,3103949,2872964
12/11/2019,1748.72,2101318,2852285
12/10/2019,1739.21,2515644,2863833
12/9/2019,1749.51,2502489,2885584
12/6/2019,1751.6,3119979,2980827
12/5/2019,1740.48,2827852,2924123
12/4/2019,1760.69,2680700,2930726
12/3/2019,1769.96,3529582,2887941
12/2/2019,1781.6,3931750,2782489
11/29/2019,1800.8,1923440,2662119
11/27/2019,1818.51,3035846,2710629
11/26/2019,1796.94,3190428,2643558
11/25/2019,1773.84,3489467,2556566
11/22/2019,1745.72,2479081,2508729
11/21/2019,1734.71,2662938,2529481
11/20/2019,1745.53,2793759,2537364
11/19/2019,1752.79,2274535,2514407
11/18/2019,1752.53,2841907,2514562
11/15/2019,1739.49,3931141,2572358
11/14/2019,1754.6,2269417,2952042
11/13/2019,1753.11,2926892,3147704
11/12/2019,1778,2038925,3098603
11/11/2019,1771.65,1947810,3111637
11/8/2019,1785.88,2126198,3130110
11/7/2019,1788.2,2651086,3212769
11/6/2019,1795.77,2029783,3216948
11/5/2019,1801.71,1885543,3268567
11/4/2019,1804.66,2771922,3351481
11/1/2019,1791.44,2790354,3295279
10/31/2019,1776.66,2781185,3327891
10/30/2019,1779.99,2449405,3323914
10/29/2019,1762.71,2276855,3299909
10/28/2019,1777.08,3708851,3323242
10/25/2019,1761.33,9626402,3221825
10/24/2019,1780.78,5204350,2746017
10/23/2019,1762.17,2190380,2640685
10/22/2019,1765.73,2234425,2717224
10/21/2019,1785.66,2224902,2779627
10/18/2019,1757.51,3366091,2815351
10/17/2019,1787.48,2713773,2854147
10/16/2019,1777.43,2804068,2911359
10/15/2019,1767.38,3129244,2959828
10/14/2019,1736.43,1928898,3060405
10/11/2019,1731.92,3279534,3141088
10/10/2019,1720.26,2721531,3292841
10/9/2019,1721.99,2089335,3249962
10/8/2019,1705.51,2626840,3279740
10/7/2019,1732.66,2187598,3240155
10/4/2019,1739.65,2489277,3339346
10/3/2019,1724.42,3624371,3304816
10/2/2019,1713.23,3338476,3251424
10/1/2019,1735.65,3170460,3191044
9/30/2019,1735.91,2760768,3153938
9/27/2019,1725.45,3948029,3169855
9/26/2019,1739.84,3571952,3073115
9/25/2019,1768.33,3531098,3056664
9/24/2019,1741.61,4637901,2976340
9/23/2019,1785.3,3139142,2903604
9/20/2019,1794.16,5555839,2898604
9/19/2019,1821.5,2078335,2729415
9/18/2019,1817.46,2536012,2752319
9/17/2019,1822.55,2033058,2785068
9/16/2019,1807.84,3675473,2855219
9/13/2019,1839.34,1971317,2962047
9/12/2019,1843.55,2823505,3007852
9/11/2019,1822.99,2432767,2955567
9/10/2019,1820.55,2613879,2922238
9/9/2019,1831.35,2999515,2936000
9/6/2019,1833.51,2496933,2939648
9/5/2019,1840.72,3325189,3027183
9/4/2019,1800.62,2326228,3131747
9/3/2019,1789.84,3546859,3248333
8/30/2019,1776.29,3064147,3205575
8/29/2019,1786.4,3018012,3193284
8/28/2019,1764.25,2421893,3238832
8/27/2019,1761.83,3027245,3379165
8/26/2019,1768.87,3085320,3515366
8/23/2019,1749.62,5277898,3713559
8/22/2019,1805.6,2658388,3692114
8/21/2019,1823.54,2039231,3829109
