Date,Last Price,Volume,SMAVG (15)
1/30/2020,208.58,14375995,15222020
1/29/2020,212.02,12896298,15062493
1/28/2020,210.23,16196716,14838674
1/27/2020,205.47,24574680,14551725
1/24/2020,213.75,18143868,13487298
1/23/2020,219.13,18519886,13336567
1/22/2020,222.37,10059579,12553646
1/21/2020,222.26,15831087,12466071
1/17/2020,227.43,12956200,12189243
1/16/2020,223.94,13712552,11786659
1/15/2020,225.06,10743368,11240688
1/14/2020,226.49,17302164,11360381
1/13/2020,230.48,17571892,11985093
1/10/2020,223.83,12302125,11624865
1/9/2020,221.78,13143886,11704536
1/8/2020,218,11983091,11581551
1/7/2020,217.63,9539012,11898976
1/6/2020,216.64,11892484,12548628
1/3/2020,217,8608281,13255417
1/2/2020,219.77,15882903,13466262
12/31/2019,212.1,6776071,13183132
12/30/2019,212.91,8745942,13687455
12/27/2019,215.47,11678669,14044102
12/26/2019,216.38,6917445,14752874
12/24/2019,214.26,5522987,15282548
12/23/2019,214.83,12538763,16143707
12/20/2019,212.25,26672844,16602084
12/19/2019,210.13,12168467,16063435
12/18/2019,210,13497200,17460830
12/17/2019,208.18,11299099,20020044
12/16/2019,206.97,16744467,20546334
12/13/2019,204.91,19283796,20132772
12/12/2019,204.5,22494328,19530834
12/11/2019,204.64,11770951,19144172
12/10/2019,200.45,11635945,19256600
12/9/2019,198.74,14340916,19269598
12/6/2019,201.89,14095652,19067706
12/5/2019,200,22310248,18978002
12/4/2019,193.74,14862556,18519218
12/3/2019,194.9,18440368,18314890
12/2/2019,196.31,19414420,18457028
11/29/2019,200,18593114,18478552
11/27/2019,200.82,33129384,18583184
11/26/2019,194.7,51885412,17363548
11/25/2019,190.45,19193456,15483866
11/22/2019,186.78,10541033,17173718
11/21/2019,184.86,10254735,18399256
11/20/2019,182.35,16694397,18723544
11/19/2019,185.25,13457361,18291466
11/18/2019,184.61,11830906,17929400
11/15/2019,185.49,11312539,17923316
11/14/2019,182.8,12750091,17828596
11/13/2019,182.48,15428495,17474824
11/12/2019,186.97,11797649,17040042
11/11/2019,186.71,20572434,16981354
11/8/2019,187.16,19737272,16213536
11/7/2019,186.66,20162592,15870095
11/6/2019,184.16,14834855,15061439
11/5/2019,182,23690168,14799371
11/4/2019,179.69,44541236,14140983
11/1/2019,176.46,28924118,11695550
10/31/2019,176.67,15119035,11058575
10/30/2019,177.53,10213241,10819823
10/29/2019,176.89,8026377,10884900
10/28/2019,178.68,11739624,11412231
10/25/2019,174.31,9891760,11431904
10/24/2019,172.55,7443497,11362856
10/23/2019,169.92,8906763,11559399
10/22/2019,169.89,10917326,11738646
