Date,Last Price,Volume,SMAVG (15)
1/30/2020,209.53,48775500,16518267
1/29/2020,223.23,33610004,14166081
1/28/2020,217.79,13413835,12932871
1/27/2020,214.87,13810655,13176873
1/24/2020,217.94,11905824,13002657
1/23/2020,219.76,11195000,13014982
1/22/2020,221.32,12212814,12866166
1/21/2020,221.44,14275784,12754275
1/17/2020,222.14,15905944,12488398
1/16/2020,221.77,10015288,12052553
1/15/2020,221.15,10036475,11787952
1/14/2020,219.06,13315361,12009067
1/13/2020,221.91,14494517,12942391
1/10/2020,218.06,12127432,13096636
1/9/2020,218.3,12679579,13840457
1/8/2020,215.22,13492703,13673658
1/7/2020,213.06,15111857,13768994
1/6/2020,212.6,17073860,14015271
1/3/2020,208.67,11197416,14461480
1/2/2020,209.78,12090707,14251107
12/31/2019,205.25,8962756,14077431
12/30/2019,204.41,10534441,14280795
12/27/2019,208.1,10287634,14397134
12/26/2019,207.79,9368273,14361649
12/24/2019,205.12,6046273,14301093
12/23/2019,206.18,13353194,14765619
12/20/2019,206.3,27315226,14644874
12/19/2019,206.06,16808184,13356208
12/18/2019,202.5,23284746,13086367
12/17/2019,198.39,10177605,12317295
12/16/2019,197.92,14922733,12657884
12/13/2019,194.11,18806020,12327023
12/12/2019,196.75,23766986,11882021
12/11/2019,202.26,8041827,11122238
12/10/2019,200.87,9485568,11857469
12/9/2019,201.34,12013218,12303505
12/6/2019,201.05,12279525,12271305
12/5/2019,199.36,9755350,12056664
12/4/2019,198.71,8459939,12140294
12/3/2019,198.82,13014170,12750661
12/2/2019,199.7,11542020,12458901
11/29/2019,201.64,7985231,12407085
11/27/2019,202,12760568,12772937
11/26/2019,198.97,11748664,12653767
11/25/2019,199.79,15286442,12533319
11/22/2019,198.82,9959817,12605643
11/21/2019,197.93,12130985,13389110
11/20/2019,197.51,12370240,15399480
11/19/2019,199.32,19070292,16490434
11/18/2019,197.4,16176107,16124073
11/15/2019,195.1,11530232,15956190
11/14/2019,193.15,9059897,15724924
11/13/2019,193.19,11009800,15887958
11/12/2019,194.47,17615454,15978693
11/11/2019,189.61,8637768,16127942
11/8/2019,190.84,10764784,16124140
11/7/2019,190.42,13472998,16532012
11/6/2019,191.55,10973019,16284582
11/5/2019,194.32,9941954,16257070
11/4/2019,194.72,16371292,16603815
11/1/2019,193.62,21711828,15992640
10/31/2019,191.65,42286528,15545101
10/30/2019,188.25,28734560,13324731
10/29/2019,189.31,13574874,11919019
10/28/2019,189.4,13657866,11686354
10/25/2019,187.89,8061240,11399816
10/24/2019,186.38,11505406,11560826
10/23/2019,186.15,12370819,11913087
10/22/2019,182.34,19854192,12179975
10/21/2019,189.76,8580744,12007133
10/18/2019,185.85,16882862,12173178
10/17/2019,190.39,9761548,12025226
10/16/2019,189.55,10560343,12459835
10/15/2019,188.89,15143119,12978477
10/14/2019,183.28,7203665,13220646
10/11/2019,184.19,14998754,13698408
10/10/2019,180.03,8980978,14055816
10/9/2019,179.85,7648874,14155397
10/8/2019,177.75,10084896,14308525
10/7/2019,179.68,9359793,14286303
10/4/2019,180.45,10476395,14225307
10/3/2019,179.38,16789320,14289621
10/2/2019,174.6,16374148,13931652
10/1/2019,175.81,17261556,13624153
9/30/2019,178.08,11071425,13503773
9/27/2019,177.1,14663575,13747172
9/26/2019,180.11,16280691,13784721
9/25/2019,182.8,18339960,13625783
9/24/2019,181.28,18775666,13157424
9/23/2019,186.82,14370089,12558526
9/20/2019,189.93,20359878,12319568
9/19/2019,190.14,10474685,11637911
9/18/2019,188.14,9945798,11565736
9/17/2019,188.08,9751570,11863280
9/16/2019,186.22,8444844,11798540
9/13/2019,187.19,11441116,12390965
9/12/2019,187.47,11419775,12350191
9/11/2019,188.49,11761660,12149510
9/10/2019,186.17,15455867,12037905
9/9/2019,188.76,14722402,11654158
9/6/2019,187.49,15226820,11528987
9/5/2019,190.9,13896621,11384508
9/4/2019,187.14,11314571,11718314
9/3/2019,182.39,9792187,11874231
8/30/2019,185.67,10785722,11950504
8/29/2019,185.57,10135033,11968710
8/28/2019,181.76,9392060,12281635
8/27/2019,181.3,14408946,12711044
8/26/2019,180.36,8780477,12952827
8/23/2019,177.75,17331220,13906572
8/22/2019,182.04,10829509,13770956
8/21/2019,183.55,8409548,14234123
8/20/2019,183.81,10087592,14646389
8/19/2019,186.17,9699661,14767454
8/16/2019,183.7,12844832,15222863
8/15/2019,182.59,13059640,15995473
8/14/2019,179.71,18903716,17784156
8/13/2019,188.45,13653319,18692744
8/12/2019,185.37,10936283,18754768
8/9/2019,187.85,11058811,18931616
8/8/2019,190.16,14828916,19000914
8/7/2019,185.15,15833197,18809422
8/6/2019,184.51,18035686,18559458
8/5/2019,181.73,23086656,18165926
8/2/2019,189.02,15296975,17695504
8/1/2019,192.73,17777012,17700124
7/31/2019,194.23,14593544,17426888
7/30/2019,197.04,11903558,17825432
7/29/2019,195.94,16530801,18011768
7/26/2019,199.75,24433984,17557972
7/25/2019,200.71,39889868,16673314
7/24/2019,204.66,32532540,14697064
7/23/2019,202.36,14583680,13131560
7/22/2019,202.32,13589024,13107123
7/19/2019,198.36,12098262,13293114
7/18/2019,200.78,11956554,13230495
7/17/2019,201.8,12083714,13287298
7/16/2019,203.84,12132720,13598405
7/15/2019,203.91,16030335,13823487
7/12/2019,204.87,15366272,14271542
7/11/2019,201.23,13678457,14222840
7/10/2019,202.73,20571702,14738749
7/9/2019,199.21,14698611,15872059
7/8/2019,195.76,9723858,16856144
7/5/2019,196.4,11164107,17326132
7/3/2019,197.2,10246119,17398764
7/2/2019,195,9049979,17895676
7/1/2019,193,14217138,18310120
6/28/2019,193,16378878,18346838
6/27/2019,189.5,11158983,18382736
6/26/2019,187.66,12808604,18468562
6/25/2019,188.84,16750309,18931876
6/24/2019,192.6,15508955,20884806
6/21/2019,191.14,22751160,23588182
6/20/2019,189.53,14635740,23086540
6/19/2019,187.48,21417092,22682928
6/18/2019,188.47,37571352,22108300
6/17/2019,189.01,29459880,20593098
6/14/2019,181.33,16773691,19216286
6/13/2019,177.47,12253569,18949294
6/12/2019,175.04,17699806,18746644
6/11/2019,178.1,15266644,18066844
6/10/2019,174.82,14767918,17739200
6/7/2019,173.35,16917344,17453698
6/6/2019,168.33,12446354,17189416
6/5/2019,168.17,19758316,17476118
6/4/2019,167.5,46044256,17334106
6/3/2019,164.15,56059608,15386713
5/31/2019,177.47,15226536,12487973
5/30/2019,183.01,8581544,12337339
5/29/2019,182.19,12797685,12598952
5/28/2019,184.31,14843308,12829307
5/24/2019,181.06,8807701,12772748
5/23/2019,180.87,12768835,13157264
5/22/2019,185.32,9213801,13186638
5/21/2019,184.82,7502820,13638828
5/20/2019,182.72,10351981,14704952
5/17/2019,185.3,10485370,15324241
5/16/2019,186.99,12953111,16096883
5/15/2019,186.27,16746904,18843262
5/14/2019,180.73,17628142,20212792
5/13/2019,181.54,16833348,20367904
5/10/2019,188.34,12578508,20138340
5/9/2019,188.65,12967033,20076814
5/8/2019,189.54,12505737,19877260
5/7/2019,189.77,16253001,19791224
5/6/2019,193.88,13994932,19430008
5/3/2019,195.47,14575434,19319000
5/2/2019,192.53,13209452,18885368
5/1/2019,193.03,15996646,18784838
4/30/2019,193.4,23494688,19035130
4/29/2019,194.78,19641310,17955310
4/26/2019,191.49,22075002,17285498
4/25/2019,193.26,54148788,17003680
4/24/2019,182.58,37289872,15233097
4/23/2019,183.78,19954814,14343541
4/22/2019,181.44,13389889,13705320
4/18/2019,178.28,11655608,13709691
4/17/2019,178.78,9973732,13645261
4/16/2019,178.87,11215193,13688366
4/15/2019,179.65,10834762,13969881
4/12/2019,179.1,12329812,14089646
4/11/2019,177.51,8070967,14360270
4/10/2019,177.82,11701479,14903740
4/9/2019,177.58,19751032,15471073
4/8/2019,174.93,7297379,15861770
4/5/2019,175.72,9594133,17876890
4/4/2019,176.02,17847732,19712348
4/3/2019,173.54,27590058,19724990
4/2/2019,174.2,23946528,18683872
4/1/2019,168.7,10381490,17897788
3/29/2019,166.69,13455454,18464620
3/28/2019,165.55,10689171,18446580
3/27/2019,165.87,10620299,18954402
3/26/2019,167.68,15437920,19681830
3/25/2019,166.29,12631230,20531828
3/22/2019,164.34,16389185,20949392
3/21/2019,166.08,16223007,20596630
3/20/2019,165.44,20211474,20256042
3/19/2019,161.57,25611488,19755110
3/18/2019,160.47,37524192,18966614
3/15/2019,165.98,37126000,17714142
3/14/2019,170.17,18037364,16296307
3/13/2019,173.37,11973280,16134338
3/12/2019,171.92,12155264,16120832
3/11/2019,172.07,18883984,16266841
3/8/2019,169.6,13184831,16041536
3/7/2019,169.13,18306504,16012891
3/6/2019,172.51,21531724,15739467
3/5/2019,171.26,28187890,15390171
3/4/2019,167.37,18894688,14365057
3/1/2019,162.28,11097770,13942839
2/28/2019,161.45,11114185,14370828
2/27/2019,162.81,12697485,14515293
2/26/2019,164.13,13784063,15172593
2/25/2019,164.62,18737106,15589420
2/22/2019,161.89,15858468,16394048
2/21/2019,160.04,15607828,20485724
2/20/2019,162.56,11770692,22419418
2/19/2019,162.29,14345390,22810168
2/15/2019,162.5,15504415,22887708
2/14/2019,163.95,12755151,23337476
2/13/2019,164.07,14205146,23884168
2/12/2019,165.04,16292290,24277052
2/11/2019,165.79,12811176,24682812
2/8/2019,167.33,12561422,25897376
2/7/2019,166.38,17517608,26112474
2/6/2019,170.49,13281161,26146348
2/5/2019,171.16,22556984,26865526
2/4/2019,169.25,20036470,26729746
2/1/2019,165.71,30806512,26254516
1/31/2019,166.69,77233600,25275748
1/30/2019,150.42,44613240,21607234
1/29/2019,144.19,17631952,20383938
1/28/2019,147.47,15508483,20547764
1/25/2019,149.01,22250954,21447336
1/24/2019,145.83,20955518,21478468
1/23/2019,144.3,20098416,21957846
1/22/2019,147.57,22378694,22259640
1/18/2019,150.04,31029612,22276230
1/17/2019,148.3,15787914,22287756
1/16/2019,147.54,18025714,23883454
1/15/2019,148.95,24068822,24152806
1/14/2019,145.39,20520278,26341652
1/11/2019,143.8,12908031,27660162
1/10/2019,144.2,16125004,30626620
1/9/2019,144.23,22205880,31198892
1/8/2019,142.53,26263792,31340764
1/7/2019,138.05,20089336,31042232
1/4/2019,137.95,29002060,30912850
1/3/2019,131.74,22717948,30559176
1/2/2019,135.68,28146192,30398002
12/31/2018,131.09,24625308,30283068
12/28/2018,133.2,22627568,30054412
12/27/2018,134.52,31202508,30427116
12/26/2018,134.18,39723368,30367442
12/24/2018,124.06,22066002,29373832
12/21/2018,124.95,56901492,29618272
12/20/2018,133.4,40297944,27440752
12/19/2018,133.24,57404896,26744056
12/18/2018,143.66,24709084,24300418
