Date,Last Price,Volume,SMAVG (15)
1/30/2020,1455.84,1339421,1595006
1/29/2020,1458.63,1078667,1607656
1/28/2020,1452.56,1577422,1636525
1/27/2020,1433.9,1755201,1646907
1/24/2020,1466.71,1784644,1609027
1/23/2020,1486.65,1351354,1583833
1/22/2020,1485.95,1610846,1557907
1/21/2020,1484.4,2036780,1520605
1/17/2020,1480.39,2396215,1454068
1/16/2020,1451.7,1173688,1338837
1/15/2020,1439.2,1282685,1283759
1/14/2020,1430.88,1560453,1257127
1/13/2020,1439.23,1653482,1374224
1/10/2020,1429.73,1821566,1361999
1/9/2020,1419.83,1502664,1351033
1/8/2020,1404.32,1529177,1374539
1/7/2020,1393.34,1511693,1365757
1/6/2020,1394.21,1733149,1368313
1/3/2020,1360.66,1187006,1338218
1/2/2020,1367.37,1406731,1315804
12/31/2019,1337.02,962468,1294998
12/30/2019,1336.14,1051323,1321220
12/27/2019,1351.89,1038718,1338833
12/26/2019,1360.4,667754,1350439
12/24/2019,1343.56,347518,1408463
12/23/2019,1348.84,883200,1469872
12/20/2019,1349.59,3316905,1511782
12/19/2019,1356.04,1470112,1329787
12/18/2019,1352.62,1657069,1298201
12/17/2019,1355.12,1855259,1259050
12/16/2019,1361.17,1397451,1204465
12/13/2019,1347.83,1550028,1203735
12/12/2019,1350.27,1281722,1166767
12/11/2019,1345.02,850796,1168641
12/10/2019,1344.66,1094653,1196546
12/9/2019,1343.56,1355795,1222775
12/6/2019,1340.62,1315510,1251252
12/5/2019,1328.13,1212818,1243172
12/4/2019,1320.54,1538110,1219241
12/3/2019,1295.28,1268647,1189091
12/2/2019,1289.92,1511851,1172010
11/29/2019,1304.96,586981,1154681
11/27/2019,1312.99,996329,1250880
11/26/2019,1313.55,1069795,1261323
11/25/2019,1306.69,1036487,1275518
11/22/2019,1295.34,1386506,1306483
11/21/2019,1301.35,995499,1325387
11/20/2019,1303.05,1309835,1356064
11/19/2019,1315.46,1269372,1362665
11/18/2019,1320.7,1488083,1403799
11/15/2019,1334.87,1782955,1478809
11/14/2019,1311.46,1194305,1440816
11/13/2019,1298,853861,1430520
11/12/2019,1298.8,1085859,1435502
11/11/2019,1299.19,1012429,1432968
11/8/2019,1311.37,1251916,1434676
11/7/2019,1308.86,2029970,1441404
11/6/2019,1291.8,1152977,1371440
11/5/2019,1292.03,1282711,1372453
11/4/2019,1291.37,1500964,1379956
11/1/2019,1273.74,1670072,1338695
10/31/2019,1260.11,1455651,1312499
10/30/2019,1261.29,1408851,1277625
10/29/2019,1262.62,1886380,1242144
10/28/2019,1290,2613237,1192504
10/25/2019,1265.13,1213051,1076098
10/24/2019,1260.99,1039868,1074112
10/23/2019,1259.13,928595,1115698
10/22/2019,1242.8,1047851,1163074
10/21/2019,1246.15,1038042,1183769
10/18/2019,1245.49,1352839,1209212
10/17/2019,1253.07,980510,1209318
10/16/2019,1243.64,1168174,1248076
10/15/2019,1243.01,1395259,1276456
10/14/2019,1217.14,882039,1289558
10/11/2019,1215.45,1277144,1302439
10/10/2019,1208.67,932531,1373114
10/9/2019,1202.31,876632,1377622
10/8/2019,1189.13,1141784,1395469
10/7/2019,1207.68,867149,1383224
10/4/2019,1209,1183264,1395634
10/3/2019,1187.83,1663656,1403506
10/2/2019,1176.63,1639237,1407656
10/1/2019,1205.1,1358279,1385510
9/30/2019,1219,1419676,1378965
9/27/2019,1225.09,1354432,1382446
9/26/2019,1241.39,1561882,1363626
9/25/2019,1246.52,1593875,1353408
9/24/2019,1218.76,1591786,1318414
9/23/2019,1234.03,1075253,1310989
9/20/2019,1229.93,2337269,1314636
9/19/2019,1238.71,1000155,1231409
9/18/2019,1232.41,1144333,1218215
9/17/2019,1229.15,958112,1213756
9/16/2019,1231.3,1053299,1231645
9/13/2019,1239.56,1301350,1273976
9/12/2019,1234.25,1725908,1250413
9/11/2019,1220.17,1307033,1184756
9/10/2019,1206,1260115,1158661
9/9/2019,1204.41,1471880,1156821
9/6/2019,1204.93,1072143,1148658
9/5/2019,1211.38,1408601,1158831
9/4/2019,1181.41,1068968,1170169
9/3/2019,1168.39,1480420,1186772
8/30/2019,1188.1,1129959,1154956
8/29/2019,1192.85,1088858,1150670
8/28/2019,1171.02,802243,1175946
8/27/2019,1167.84,1077452,1218751
8/26/2019,1168.89,1226441,1260879
8/23/2019,1151.29,1688271,1352280
8/22/2019,1189.53,947906,1349400
8/21/2019,1191.25,741053,1399440
8/20/2019,1182.69,915605,1465067
8/19/2019,1198.45,1232517,1500911
8/16/2019,1177.6,1349436,1566992
8/15/2019,1167.26,1224739,1797413
8/14/2019,1164.29,1578668,1863085
8/13/2019,1197.27,1318009,1863847
8/12/2019,1174.71,1003187,1848892
8/9/2019,1188.01,1065658,1868803
8/8/2019,1204.8,1467997,1907575
8/7/2019,1173.99,1444324,1895794
8/6/2019,1169.95,1709374,1877509
8/5/2019,1152.32,2597455,1846138
8/2/2019,1193.99,1645067,1733226
8/1/2019,1209.01,1698510,1681153
7/31/2019,1216.68,1725454,1647624
7/30/2019,1225.14,1453263,1613225
7/29/2019,1239.41,2223731,1605032
