Date,Last Price,Volume,SMAVG (15)
1/30/2020,323.87,31685808,34930452
1/29/2020,324.34,54149928,35024128
1/28/2020,317.69,40558488,33272642
1/27/2020,308.95,40485004,32545054
1/24/2020,318.31,36634380,32288312
1/23/2020,319.23,26117992,32106810
1/22/2020,317.7,25458116,32048786
1/21/2020,316.57,27710814,32755552
1/17/2020,318.73,34454116,33347694
1/16/2020,315.24,27207254,32606354
1/15/2020,311.34,30480882,31600518
1/14/2020,312.68,40653456,31213650
1/13/2020,316.96,30521722,33105604
1/10/2020,310.33,35217272,32712618
1/9/2020,309.63,42621544,32299780
1/8/2020,303.19,33090946,31363396
1/7/2020,298.39,27877656,31296074
1/6/2020,299.8,29644644,31666416
1/3/2020,297.43,36633880,31985910
1/2/2020,300.35,33911864,30858544
12/31/2019,293.65,25247624,30106578
12/30/2019,291.52,36059616,30568914
12/27/2019,289.8,36592936,29934772
12/26/2019,289.91,23334004,28739332
12/24/2019,284.27,12119714,28304424
12/23/2019,284,24677884,29454928
12/20/2019,279.44,69032744,29389306
12/19/2019,280.02,24626948,25564080
12/18/2019,279.74,29024688,25014692
12/17/2019,280.41,28575798,24835372
12/16/2019,279.86,32081104,24332286
12/13/2019,275.15,33432806,23282296
12/12/2019,271.46,34437040,23076696
12/11/2019,270.77,19723392,22554888
12/10/2019,268.48,22632384,22511300
12/9/2019,266.92,32182644,22449202
12/6/2019,270.71,26547492,21976602
12/5/2019,265.58,18661344,21699808
12/4/2019,261.74,16810388,22176890
12/3/2019,259.45,29377268,22512680
12/2/2019,264.16,23693550,21921360
11/29/2019,267.25,11654363,21509822
11/27/2019,267.84,16386122,22315204
11/26/2019,264.29,26334882,22487204
11/25/2019,266.37,21029516,22063174
11/22/2019,261.78,16331263,22382402
11/21/2019,262.01,30348778,23812408
11/20/2019,263.19,26609920,24108524
11/19/2019,266.29,19069596,24409896
11/18/2019,267.1,21700896,25519248
11/15/2019,265.76,25093666,25682072
11/14/2019,262.64,22395556,25233780
11/13/2019,264.47,25817592,24935160
11/12/2019,261.96,21847226,24542824
11/11/2019,262.2,20507460,24598608
11/8/2019,260.14,17520496,24722610
11/7/2019,259.43,23735084,25179722
11/6/2019,257.24,18966124,24748908
11/5/2019,257.13,19974428,24770280
11/4/2019,257.5,25817952,24974684
11/1/2019,255.82,37781336,24881052
10/31/2019,248.76,34790520,25161644
10/30/2019,243.26,31130522,24773142
10/29/2019,243.29,35709868,23966402
10/28/2019,249.05,24143240,23537924
10/25/2019,246.58,18369296,23987660
10/24/2019,243.58,17916256,25080076
10/23/2019,243.18,19932544,25909172
10/22/2019,239.96,22684000,26964820
10/21/2019,240.51,22367484,27865030
10/18/2019,236.41,24377166,28128436
10/17/2019,235.28,17272896,28194044
10/16/2019,234.37,19286694,28315072
10/15/2019,235.32,23040484,28528026
10/14/2019,235.87,24413484,29087618
10/11/2019,236.21,41990208,28754696
10/10/2019,230.09,28962984,29820488
10/9/2019,227.03,19029424,29368814
10/8/2019,224.4,29282700,29809726
10/7/2019,227.06,30889268,29083310
10/4/2019,227.01,34755552,28434568
10/3/2019,220.82,30352686,28768418
10/2/2019,218.96,35767256,28893350
10/1/2019,224.59,36187164,29461510
9/30/2019,223.97,26318584,29167562
9/27/2019,218.82,25361284,29233616
9/26/2019,219.89,19088312,28833682
9/25/2019,221.03,22481006,29157594
9/24/2019,217.68,31434368,28939982
9/23/2019,218.72,19419648,28181662
9/20/2019,217.73,57977096,28297856
9/19/2019,220.96,22187876,25833226
9/18/2019,222.77,25643092,25417878
9/17/2019,220.7,18386468,25434828
9/16/2019,219.9,21158140,25946804
9/13/2019,218.75,39763296,27661786
9/12/2019,223.085,32226668,26495420
9/11/2019,223.59,44289648,25784626
9/10/2019,216.7,31777932,24626618
9/9/2019,214.17,27309400,24136884
9/6/2019,213.26,19362294,24237164
9/5/2019,213.28,23946984,24805236
9/4/2019,209.19,19216820,25645266
9/3/2019,205.7,20059574,27533464
8/30/2019,208.74,21162560,27694952
8/29/2019,209.01,21007652,27925430
8/28/2019,205.53,15957632,28325556
8/27/2019,204.16,25897344,29486006
8/26/2019,206.49,26066130,30147836
8/23/2019,202.64,46882844,31902960
8/22/2019,212.46,22267820,31501578
8/21/2019,212.64,21564748,33618252
8/20/2019,210.36,26919528,36799360
8/19/2019,210.35,24431916,37267104
8/16/2019,206.5,28813624,37083204
8/15/2019,201.74,27883364,36336884
8/14/2019,202.75,36547444,35405300
8/13/2019,208.97,47539784,33968240
8/12/2019,200.48,22481888,32022602
8/9/2019,200.99,24619746,32009006
8/8/2019,203.43,27009524,31762976
8/7/2019,199.04,33364400,31201152
8/6/2019,197,35824788,29917356
8/5/2019,193.34,52392968,28653490
8/2/2019,204.02,40862120,26290454
8/1/2019,208.43,54017920,24739326
7/31/2019,213.04,69281360,22484254
7/30/2019,208.78,33935720,19058640
7/29/2019,209.68,21673388,18168126
7/26/2019,207.74,17618874,18412476
7/25/2019,207.02,13909562,18388918
7/24/2019,208.67,14991567,18219084
7/23/2019,208.84,18355210,18348660
7/22/2019,207.22,22277932,18946096
7/19/2019,202.59,20929308,19534944
7/18/2019,205.66,18582160,19532970
7/17/2019,203.35,14107450,20031994
7/16/2019,204.5,16866816,20496186
7/15/2019,205.21,16947420,20586426
7/12/2019,203.3,17595212,22643304
7/11/2019,201.75,20191842,22904556
7/10/2019,203.23,17897138,22966716
7/9/2019,201.24,20578016,23543640
7/8/2019,200.02,25338628,23149716
7/5/2019,204.23,17265518,22711238
7/3/2019,204.41,11362045,23005178
7/2/2019,202.73,16935216,23464588
7/1/2019,201.55,27316740,24131100
6/28/2019,197.92,31110642,24058040
6/27/2019,199.74,20899716,24029624
6/26/2019,199.8,26067512,24138064
6/25/2019,195.57,21070334,24385124
6/24/2019,198.58,18220420,25044966
6/21/2019,198.78,47800588,26523342
6/20/2019,199.46,21513988,25139542
6/19/2019,197.87,21124236,25119838
6/18/2019,198.45,26551004,25610300
6/17/2019,193.89,14669144,25703442
6/14/2019,192.74,18761474,26306480
6/13/2019,194.15,21674624,27491030
6/12/2019,194.19,18253188,28029292
6/11/2019,194.81,26932882,28703402
6/10/2019,192.58,26220852,29482030
6/7/2019,190.15,30684392,29925912
6/6/2019,185.22,22526312,30082378
6/5/2019,182.54,29773428,30350270
6/4/2019,179.64,30967960,30800688
6/3/2019,173.3,40396068,32564864
5/31/2019,175.07,27043584,32619042
5/30/2019,178.3,21218412,33143376
5/29/2019,177.38,28481164,33484782
5/28/2019,178.23,27948160,34170284
5/24/2019,178.97,23714686,34469948
5/23/2019,179.66,36529736,34281792
5/22/2019,182.78,29748556,33979568
5/21/2019,186.6,28364848,36318152
5/20/2019,183.09,38612288,37529488
5/17/2019,189,32879090,36435652
5/16/2019,190.08,33031364,35486984
5/15/2019,190.92,26544718,34521108
5/14/2019,188.66,36529676,33920836
5/13/2019,185.72,57430624,33040388
5/10/2019,197.18,41208712,30507650
5/9/2019,200.72,34908608,29373454
5/8/2019,202.9,26339504,28973332
5/7/2019,202.86,38763696,28930458
5/6/2019,208.48,32443112,27515320
5/3/2019,211.75,20892378,27203158
5/2/2019,209.15,31996324,27203720
5/1/2019,210.52,64827328,26516984
4/30/2019,200.67,46534924,24579712
4/29/2019,204.61,22204716,23202830
4/26/2019,204.3,18649102,22957624
4/25/2019,205.28,18543206,22988636
4/24/2019,207.16,17540608,23303878
4/23/2019,207.48,23322992,23652220
4/22/2019,204.53,19439544,23954818
4/18/2019,203.86,24195766,24229778
4/17/2019,203.13,28906780,24002086
4/16/2019,199.25,25696384,24064862
4/15/2019,199.23,17536646,25671806
4/12/2019,198.87,27760668,27425714
4/11/2019,198.95,20900808,28402182
4/10/2019,200.62,21695288,30411076
4/9/2019,199.5,35768236,31033740
4/8/2019,200.1,25881696,30758948
4/5/2019,197,18526644,30781490
4/4/2019,195.69,19114276,32149242
4/3/2019,195.35,23271830,32446924
4/2/2019,194.02,22765732,32964304
4/1/2019,191.24,27861964,33611092
3/29/2019,189.95,23563960,33887700
3/28/2019,188.72,20780364,33916724
3/27/2019,188.47,29848428,34184460
3/26/2019,186.79,49800536,33581924
3/25/2019,188.74,43845292,31577714
3/22/2019,191.05,42407664,30483776
3/21/2019,195.09,51034236,29382342
3/20/2019,188.16,31035232,27861088
3/19/2019,186.53,31646368,27647764
3/18/2019,188.02,26219832,26676022
3/15/2019,186.12,39042912,26386256
3/14/2019,183.73,23579508,25044272
3/13/2019,181.71,31032524,24622284
3/12/2019,180.91,32467584,24294406
3/11/2019,178.9,32011034,23394756
3/8/2019,172.91,23999358,22902474
3/7/2019,172.5,24796374,22758234
3/6/2019,174.52,20810384,22604490
3/5/2019,175.53,19737420,22702700
3/4/2019,175.85,27436204,22786434
3/1/2019,174.97,25886168,22545350
2/28/2019,173.15,28215416,22935718
2/27/2019,174.87,27835388,22937330
2/26/2019,174.33,17070212,23488414
2/25/2019,174.23,21873358,24450104
2/22/2019,172.97,18913154,25169756
2/21/2019,171.06,17249670,26624856
2/20/2019,172.03,26114362,29548864
2/19/2019,170.93,18972826,30580388
2/15/2019,170.42,24626814,31061670
2/14/2019,170.8,21835748,31656410
2/13/2019,170.18,22490232,31896796
2/12/2019,170.89,22283524,31939486
2/11/2019,169.43,20993424,32480182
2/8/2019,170.41,23819966,33330688
2/7/2019,170.94,31741690,33730768
2/6/2019,174.24,28239592,33652636
2/5/2019,174.18,36101628,33684016
2/4/2019,171.25,31495582,33439856
2/1/2019,166.52,32668138,33141698
1/31/2019,166.44,40739648,33349202
1/30/2019,165.25,61109780,33639832
1/29/2019,154.68,41587240,32300866
1/28/2019,156.3,26192058,33180234
1/25/2019,157.76,33547892,35341236
1/24/2019,152.7,25441548,39192188
1/23/2019,153.92,23130570,39965400
1/22/2019,153.3,30393970,40756928
1/18/2019,156.82,33751024,41550092
1/17/2019,155.86,29821160,42841160
1/16/2019,154.94,30569706,44758584
1/15/2019,153.07,28710324,45198552
1/14/2019,150,32439186,49667492
1/11/2019,152.29,27023240,51823076
1/10/2019,153.8,35780672,53291348
1/9/2019,153.31,45099080,53162068
1/8/2019,150.75,41025312,53107992
1/7/2019,147.93,54777764,53086552
1/4/2019,148.26,58607072,51561224
1/3/2019,142.19,91312192,50029264
1/2/2019,157.92,37039736,47093896
12/31/2018,157.74,35003464,48759644
12/28/2018,156.23,42291424,49244856
12/27/2018,156.15,53117064,49298656
12/26/2018,157.17,58582544,48513804
12/24/2018,146.83,37169232,47328168
12/21/2018,150.73,95744384,47485656
12/20/2018,156.83,64772960,43887360
12/19/2018,160.89,49047296,42640000
