Date,Last Price,Volume,SMAVG (15)
1/30/2020,1454.25,1355472,1542819
1/29/2020,1456.7,1081964,1570206
1/28/2020,1450.5,1486586,1613172
1/27/2020,1431.73,1706566,1670022
1/24/2020,1466.17,1489280,1634293
1/23/2020,1484.69,1332562,1625959
1/22/2020,1484.17,1422946,1602192
1/21/2020,1482.25,2446601,1574035
1/17/2020,1479.52,2621175,1488320
1/16/2020,1450.16,1304040,1392495
1/15/2020,1439.2,1077519,1350453
1/14/2020,1430.59,1305636,1345083
1/13/2020,1440.03,1537317,1425630
1/10/2020,1428.96,1313178,1424548
1/9/2020,1419.79,1661438,1414785
1/8/2020,1405.04,1766274,1413926
1/7/2020,1395.11,1726456,1389938
1/6/2020,1397.81,2339343,1385420
1/3/2020,1361.52,1170629,1326561
1/2/2020,1368.68,1364265,1316806
12/31/2019,1339.39,976061,1284551
12/30/2019,1339.71,1000592,1323273
12/27/2019,1354.64,1160873,1366482
12/26/2019,1362.47,1183800,1370466
12/24/2019,1344.43,673410,1409972
12/23/2019,1350.63,996967,1463746
12/20/2019,1351.22,2513849,1485874
12/19/2019,1356.44,1521082,1360956
12/18/2019,1351.91,1166733,1322253
12/17/2019,1354.89,1648549,1317610
12/16/2019,1360.7,1406457,1286350
12/13/2019,1346.87,1658684,1285181
12/12/2019,1348.49,1456466,1259758
12/11/2019,1344.25,1024308,1259051
12/10/2019,1342.89,880430,1263673
12/9/2019,1342.99,1556889,1298269
12/6/2019,1339.39,1648729,1325473
12/5/2019,1326.96,1220631,1312227
12/4/2019,1318.94,1776392,1293257
12/3/2019,1294.74,1480026,1271121
12/2/2019,1288.86,1328889,1229910
11/29/2019,1304.09,640069,1242777
11/27/2019,1312.13,940536,1350572
11/26/2019,1313,1097089,1369954
11/25/2019,1305.64,1179658,1380643
11/22/2019,1293.67,1388912,1404108
11/21/2019,1300.14,1277338,1407554
11/20/2019,1301.86,1445870,1428742
11/19/2019,1312.59,1093629,1429697
11/18/2019,1319.84,1399374,1532302
11/15/2019,1333.54,1964955,1657105
11/14/2019,1309.15,1450039,1616458
11/13/2019,1296.18,936085,1595820
11/12/2019,1297.21,1444342,1611833
11/11/2019,1298.28,861860,1600999
11/8/2019,1309,1521892,1612214
11/7/2019,1306.94,2257005,1616242
11/6/2019,1291.01,1231265,1536707
11/5/2019,1291.44,1257427,1531358
11/4/2019,1289.61,1531622,1549344
11/1/2019,1272.25,1440607,1492831
10/31/2019,1258.8,1595154,1471887
10/30/2019,1260.7,1460193,1410093
10/29/2019,1260.66,2632715,1366962
10/28/2019,1288.98,3271411,1260276
10/25/2019,1264.3,1355248,1100783
10/24/2019,1259.11,1140478,1092345
10/23/2019,1257.63,1176281,1114274
10/22/2019,1241.2,1281821,1147507
10/21/2019,1244.28,1030085,1147568
10/18/2019,1244.41,1582320,1165203
10/17/2019,1252.8,1063981,1174547
10/16/2019,1243,1151028,1181720
10/15/2019,1242.24,1527216,1195329
10/14/2019,1217.77,683926,1215896
10/11/2019,1215.71,1126452,1250105
10/10/2019,1209.47,668244,1304191
10/9/2019,1202.4,813216,1316108
10/8/2019,1190.13,1032426,1321413
10/7/2019,1208.25,879020,1322398
10/4/2019,1210.96,1228686,1357856
10/3/2019,1189.43,1469413,1354861
10/2/2019,1177.92,1674774,1362382
10/1/2019,1206,1282735,1329135
9/30/2019,1221.14,1294609,1336691
9/27/2019,1225.95,1722481,1356581
9/26/2019,1242.29,1171577,1304987
9/25/2019,1245.94,1355162,1314926
9/24/2019,1218.33,1835712,1295626
9/23/2019,1234.69,1197069,1259653
9/20/2019,1229.84,1937743,1240073
9/19/2019,1238.75,847002,1176364
9/18/2019,1232.65,892788,1175952
9/17/2019,1229.88,1047201,1194666
9/16/2019,1231.63,1410880,1195447
9/13/2019,1240.03,1183762,1222265
9/12/2019,1234.97,1582230,1201208
9/11/2019,1220,1176066,1142944
9/10/2019,1205.7,1396077,1131911
9/9/2019,1205.27,1592958,1120363
9/6/2019,1206.32,948580,1098511
9/5/2019,1212.19,1320656,1130654
9/4/2019,1182.27,1065666,1160710
9/3/2019,1169.55,1296116,1185015
8/30/2019,1190.53,903375,1172157
8/29/2019,1194.24,982098,1179995
8/28/2019,1173.75,840829,1214911
8/27/2019,1170.82,1173489,1261146
8/26/2019,1171.18,1058926,1302961
8/23/2019,1153.58,1813141,1391830
8/22/2019,1191.52,867915,1387318
8/21/2019,1191.58,708272,1447541
8/20/2019,1183.53,1010566,1533523
8/19/2019,1200.44,1222854,1561537
8/16/2019,1179.21,1265187,1617955
8/15/2019,1169.32,1430715,1937662
8/14/2019,1164.25,1771501,2024824
8/13/2019,1196.73,1430240,1997388
8/12/2019,1174.5,1103243,1970868
8/9/2019,1188.9,1020945,1993768
8/8/2019,1206.19,1505848,2002982
8/7/2019,1175.91,1534347,1987510
8/6/2019,1171.08,1800707,1950347
8/5/2019,1154.75,2391972,1914809
8/2/2019,1196.32,1745450,1825906
8/1/2019,1211.78,1771271,1782472
7/31/2019,1218.2,1997999,1751089
7/30/2019,1228,1430775,1720259
7/29/2019,1241.84,2069127,1723115
