Date,Last Price,Volume,SMAVG (15)
1/30/2020,172.78,51597472,27258978
1/29/2020,168.04,35127772,25669950
1/28/2020,165.46,24899940,24786880
1/27/2020,162.28,32078068,24515332
1/24/2020,165.04,24918116,23784906
1/23/2020,166.72,19680766,23632668
1/22/2020,165.7,24138776,23546842
1/21/2020,166.5,29517192,23028038
1/17/2020,167.1,34371660,22287848
1/16/2020,166.17,23865360,20964866
1/15/2020,163.18,21417872,19973120
1/14/2020,162.13,23500784,19727014
1/13/2020,163.28,21637008,21733602
1/10/2020,161.34,20733946,22012056
1/9/2020,162.09,21399952,22238618
1/8/2020,160.09,27762026,22508190
1/7/2020,157.58,21881740,22267574
1/6/2020,159.03,20826702,22398794
1/3/2020,158.62,21121680,22653372
1/2/2020,160.62,22634546,22502594
12/31/2019,157.7,18393384,22092362
12/30/2019,157.59,16356720,21982226
12/27/2019,158.96,18414352,21985804
12/26/2019,158.67,14526927,21950220
12/24/2019,157.38,8989150,22153800
12/23/2019,157.41,17726284,23234000
12/20/2019,157.41,53599612,23883822
12/19/2019,155.71,25813824,21109002
12/18/2019,154.37,24132380,20401500
12/17/2019,154.69,25443528,20435014
12/16/2019,155.53,24152770,20234018
12/13/2019,154.53,23850062,19679944
12/12/2019,153.24,24645366,19328346
12/11/2019,151.7,18860000,19399992
12/10/2019,151.13,16481060,19740004
12/9/2019,151.36,16741350,20078250
12/6/2019,151.75,16410400,20529414
12/5/2019,149.93,17880600,20752394
12/4/2019,149.85,17580616,20723302
12/3/2019,149.31,25192144,20794510
12/2/2019,149.55,27473616,20073044
11/29/2019,151.38,11977300,19358332
11/27/2019,152.32,15201293,19745628
11/26/2019,152.03,24635100,19837260
11/25/2019,151.23,22428584,19411600
11/22/2019,149.59,15841680,19043826
11/21/2019,149.48,18576084,20196272
11/20/2019,149.62,25720060,20598210
11/19/2019,150.39,23960164,20116644
11/18/2019,150.34,21554762,19891932
11/15/2019,149.97,23508808,20806956
11/14/2019,148.06,19755100,20970352
11/13/2019,147.31,17444230,22138572
11/12/2019,147.07,18648712,23067644
11/11/2019,146.11,14370178,23686746
11/8/2019,145.96,16752939,24109804
11/7/2019,144.26,17786716,25145236
11/6/2019,144.06,16575798,25432976
11/5/2019,144.46,18250172,25717368
11/4/2019,144.55,16912000,25828540
11/1/2019,143.72,33128366,25607184
10/31/2019,143.37,24605136,25102030
10/30/2019,144.61,18496592,24688128
10/29/2019,142.83,20589468,24800254
10/28/2019,144.19,35280136,25213178
10/25/2019,140.73,25959724,23967922
10/24/2019,139.94,37278400,23826576
10/23/2019,137.24,31380308,23100004
10/22/2019,136.37,27935270,23141434
10/21/2019,138.43,20716040,22784544
10/18/2019,137.41,32284428,22632168
10/17/2019,139.69,22102796,21979802
10/16/2019,140.41,20841688,21693850
10/15/2019,141.575,19917762,21807342
10/14/2019,139.55,13591639,22480602
10/11/2019,139.68,25551064,22735052
10/10/2019,139.1,18396604,23701032
10/9/2019,138.24,20178482,24880952
10/8/2019,135.67,26783336,25167278
10/7/2019,137.12,16601284,24580142
10/4/2019,138.12,23839548,24588820
10/3/2019,136.28,26379798,24557052
10/2/2019,134.65,32001764,24599066
10/1/2019,137.07,22581928,24114022
9/30/2019,139.03,18430390,24535452
9/27/2019,137.73,22498958,25025022
9/26/2019,139.54,17813512,24913392
9/25/2019,139.36,22544054,25467124
9/24/2019,137.38,30016670,25165208
9/23/2019,139.14,17408374,24422816
9/20/2019,139.44,40040768,24858666
9/19/2019,141.07,36095412,23534596
9/18/2019,138.52,24473386,22288956
9/17/2019,137.39,17976284,22198440
9/16/2019,136.33,16731440,22355038
9/13/2019,137.32,23363056,23807302
9/12/2019,137.52,27009980,23497076
9/11/2019,136.12,24726116,22695232
9/10/2019,136.08,28903378,22459424
9/9/2019,137.52,25773932,22157234
9/6/2019,139.1,20824504,22107382
9/5/2019,140.05,26119520,22594110
9/4/2019,137.63,18015310,23021292
9/3/2019,136.04,18880772,23520044
8/30/2019,137.86,23946124,23626950
8/29/2019,138.12,20179716,23594988
8/28/2019,135.56,17410828,24082774
8/27/2019,135.74,23115636,25149688
8/26/2019,135.45,20325272,25788422
8/23/2019,133.39,38515384,27283374
8/22/2019,137.78,18709662,26768456
8/21/2019,138.79,14982314,28224980
8/20/2019,137.26,21188998,29799412
8/19/2019,138.41,24370544,29509914
8/16/2019,136.13,25026152,28992268
8/15/2019,133.68,28125416,28593032
8/14/2019,133.98,32527252,27941796
8/13/2019,138.6,25496592,27155864
8/12/2019,135.79,20484348,26658398
8/9/2019,137.71,23466700,26964824
8/8/2019,138.89,27496508,28666536
8/7/2019,135.28,33414540,28887348
8/6/2019,134.69,32696652,28007110
8/5/2019,132.21,42749552,27342408
8/2/2019,136.9,30791624,25602536
8/1/2019,138.06,40557504,24812216
7/31/2019,136.27,38598784,23596912
7/30/2019,140.35,16846528,22637284
7/29/2019,141.03,16605870,22844388
7/26/2019,141.34,19037600,22855980
7/25/2019,140.19,18356884,22796216
7/24/2019,140.72,20738276,22481044
7/23/2019,139.29,18034588,22114348
7/22/2019,138.43,25080760,22423824
7/19/2019,136.62,48992364,22754638
7/18/2019,136.42,30808708,20592312
7/17/2019,136.27,20210956,20115582
7/16/2019,137.08,22726128,20990012
7/15/2019,138.9,16651457,20850194
7/12/2019,138.9,18936832,22188622
7/11/2019,138.4,22327942,23129006
7/10/2019,137.85,24204362,23223440
7/9/2019,136.46,19953096,23338780
7/8/2019,136.96,16779748,22976426
7/5/2019,137.06,18141140,23045888
7/3/2019,137.46,13629296,22983202
7/2/2019,136.58,15237843,23214080
7/1/2019,135.68,22676730,23792474
6/28/2019,133.96,30042968,24045832
6/27/2019,134.15,16557482,24302006
6/26/2019,133.93,23657744,24628772
6/25/2019,133.43,33327420,24713330
6/24/2019,137.78,20628840,24450346
6/21/2019,136.97,36727892,25607332
6/20/2019,136.95,33042592,24935256
6/19/2019,135.69,23744440,23854392
6/18/2019,135.16,25934458,23788972
6/17/2019,132.85,14517785,23601898
6/14/2019,132.45,17821704,23575604
6/13/2019,132.32,17200848,23961078
6/12/2019,131.49,17092464,23840786
6/11/2019,132.1,23913732,23720840
6/10/2019,132.6,26477098,23707052
6/7/2019,131.4,33885588,23659948
6/6/2019,127.82,21458960,23408390
6/5/2019,125.83,24926140,23625974
6/4/2019,123.16,29382642,23648652
6/3/2019,119.84,37983636,23952804
5/31/2019,123.68,26646768,23481568
5/30/2019,125.73,16829612,23520838
5/29/2019,124.94,22763140,24293464
5/28/2019,126.16,23128360,25177100
5/24/2019,126.24,14123358,25251172
5/23/2019,126.18,23603810,25970358
5/22/2019,127.67,15396485,26220114
5/21/2019,126.9,15293260,26981794
5/20/2019,126.22,23706934,27573344
5/17/2019,128.07,25770540,27081160
5/16/2019,128.93,30112216,26940120
5/15/2019,126.02,24722708,27468232
5/14/2019,124.73,25266316,27903850
5/13/2019,123.35,33944924,27821130
5/10/2019,127.13,30915084,26601384
5/9/2019,125.5,27235836,26406444
5/8/2019,125.51,28418996,25877452
5/7/2019,125.52,36017660,24920970
5/6/2019,128.15,24239464,23572632
5/3/2019,128.9,24911126,23273010
5/2/2019,126.21,27350160,22559544
5/1/2019,127.88,26821692,21834678
4/30/2019,130.6,24166504,21220696
4/29/2019,129.77,16324183,20617342
4/26/2019,129.89,23654932,20584146
4/25/2019,129.15,38033892,20348006
4/24/2019,125.01,31256980,19336464
4/23/2019,125.44,24025520,18462152
4/22/2019,123.76,15648724,18379724
4/18/2019,123.37,27990998,19029792
4/17/2019,121.77,19300938,18386042
4/16/2019,120.77,14071787,18614876
4/15/2019,121.05,15792572,19416600
4/12/2019,120.95,19745144,20168236
4/11/2019,120.33,14209121,21093530
4/10/2019,120.19,16477169,22136550
4/9/2019,119.28,17611980,22912296
4/8/2019,119.93,15116186,24244076
4/5/2019,119.89,15826245,25316838
4/4/2019,119.36,20112848,27903798
4/3/2019,119.97,22860744,28613834
4/2/2019,119.19,18142296,29457368
4/1/2019,119.02,22789104,29990064
3/29/2019,117.94,25399752,30236898
3/28/2019,116.93,18334756,30064810
3/27/2019,116.77,22733428,30531756
3/26/2019,117.91,26097664,30195326
3/25/2019,117.66,27067116,29758038
3/22/2019,117.05,33624528,29727430
3/21/2019,120.22,29854446,29052540
3/20/2019,117.52,28113344,29001172
3/19/2019,117.65,37588696,28559420
3/18/2019,117.57,31207596,27489290
3/15/2019,115.91,54630660,26992156
3/14/2019,114.59,30763368,25200994
3/13/2019,114.5,35513772,25087650
3/12/2019,113.62,26132716,24160578
3/11/2019,112.83,26491618,23620960
3/8/2019,110.51,22818430,23628646
3/7/2019,110.39,25338954,23559730
3/6/2019,111.75,17686996,23096790
3/5/2019,111.7,19538318,23588098
3/4/2019,112.26,26608014,23546484
